""	"X0"	"X1"
"663"	82	184
"664"	82	195
"665"	82	182
"666"	83	193
"667"	83	190
"668"	84	184
"669"	85	183
"670"	85	179
"671"	85	192
"672"	86	187
"673"	85	193
"674"	86	197
"675"	86	180
"676"	86	182
"677"	87	194
"678"	88	184
"679"	88	191
"680"	89	177
"681"	88	183
"682"	81	188
"683"	83	179
"684"	89	180
"685"	71	179
"686"	73	189
"687"	77	188
"688"	78	188
"689"	80	196
"690"	87	189
"691"	80	186
"692"	71	181
"693"	73	187
"694"	74	182
"695"	75	184
"696"	76	180
"697"	79	182
"698"	79	184
"699"	80	191
"700"	81	182
"701"	82	195
"702"	85	188
"703"	84	182
"704"	85	186
"705"	87	190
"706"	87	193
"707"	87	185
"708"	89	180
"709"	89	183
"710"	69	174
"711"	69	156
"712"	70	173
"713"	70	164
"714"	70	168
"715"	70	158
"716"	70	170
"717"	71	172
"718"	72	169
"719"	72	173
"720"	73	164
"721"	74	166
"722"	74	159
"723"	75	162
"724"	77	161
"725"	77	158
"726"	77	163
"727"	78	165
"728"	78	175
"729"	80	163
"730"	80	176
"731"	80	156
"732"	81	162
"733"	81	164
"734"	81	176
"735"	81	168
"736"	82	157
"737"	83	159
"738"	83	167
"739"	83	162
"740"	84	164
"741"	84	156
"742"	85	175
"743"	90	163
"744"	72	158
"745"	74	157
"746"	83	174
"747"	87	163
"748"	72	163
"749"	83	163
"750"	83	159
"751"	86	164
"752"	89	164
"753"	76	166
"754"	77	169
"755"	71	168
"756"	73	175
"757"	74	174
"758"	74	171
"759"	78	162
"760"	78	156
"761"	78	157
"762"	79	163
"763"	82	159
"764"	82	173
"765"	82	161
"766"	85	160
"767"	85	170
"768"	86	162
"769"	88	158
"770"	89	171
"771"	89	174
"772"	88	173
"773"	69	152
"774"	70	139
"775"	72	138
"776"	72	141
"777"	73	143
"778"	73	138
"779"	74	144
"780"	74	147
"781"	74	135
"782"	74	153
"783"	75	144
"784"	76	152
"785"	76	137
"786"	76	147
"787"	77	144
"788"	77	133
"789"	78	153
"790"	79	145
"791"	80	142
"792"	80	136
"793"	80	151
"794"	80	145
"795"	80	146
"796"	81	143
"797"	84	150
"798"	85	134
"799"	86	140
"800"	87	144
"801"	87	152
"802"	87	146
"803"	88	143
"804"	88	141
"805"	89	133
"806"	90	138
"807"	90	136
"808"	70	151
"809"	71	135
"810"	75	153
"811"	76	134
"812"	78	141
"813"	84	138
"814"	84	145
"815"	71	150
"816"	77	138
"817"	77	136
"818"	80	149
"819"	89	151
"820"	90	149
"821"	89	150
"822"	70	152
"823"	71	133
"824"	74	141
"825"	73	151
"826"	74	150
"827"	75	139
"828"	76	150
"829"	78	138
"830"	79	134
"831"	80	138
"832"	81	135
"833"	83	150
"834"	84	148
"835"	85	147
"836"	86	138
"837"	86	142
"838"	87	136
"839"	88	145
"840"	70	130
"841"	70	121
"842"	71	128
"843"	72	118
"844"	72	116
"845"	74	123
"846"	75	130
"847"	75	117
"848"	75	117
"849"	75	113
"850"	77	129
"851"	78	120
"852"	78	122
"853"	80	114
"854"	80	112
"855"	81	119
"856"	81	128
"857"	81	114
"858"	81	130
"859"	82	115
"860"	83	119
"861"	83	117
"862"	83	121
"863"	86	125
"864"	87	131
"865"	87	124
"866"	89	114
"867"	89	124
"868"	89	123
"869"	89	121
"870"	89	128
"871"	90	118
"872"	70	119
"873"	74	128
"874"	74	119
"875"	78	115
"876"	70	116
"877"	76	117
"878"	79	124
"879"	80	117
"880"	82	123
"881"	71	128
"882"	71	126
"883"	71	123
"884"	72	123
"885"	76	121
"886"	76	125
"887"	77	121
"888"	78	126
"889"	78	119
"890"	80	113
"891"	83	126
"892"	83	129
"893"	84	121
"894"	84	123
"895"	86	118
"896"	86	129
"897"	87	115
"898"	89	119
"899"	89	113
"900"	69	95
"901"	72	91
"902"	72	102
"903"	75	94
"904"	75	90
"905"	75	106
"906"	76	95
"907"	75	108
"908"	76	92
"909"	77	90
"910"	78	107
"911"	80	102
"912"	79	90
"913"	80	107
"914"	81	104
"915"	81	99
"916"	81	97
"917"	82	106
"918"	82	99
"919"	83	102
"920"	84	109
"921"	85	100
"922"	85	103
"923"	87	90
"924"	87	100
"925"	88	104
"926"	90	102
"927"	90	107
"928"	69	92
"929"	70	102
"930"	72	101
"931"	75	105
"932"	75	96
"933"	89	98
"934"	70	89
"935"	72	93
"936"	72	93
"937"	77	92
"938"	88	92
"939"	76	99
"940"	79	92
"941"	84	108
"942"	88	101
"943"	68	90
"944"	71	89
"945"	72	96
"946"	76	103
"947"	77	105
"948"	77	108
"949"	77	91
"950"	79	105
"951"	79	96
"952"	79	108
"953"	81	94
"954"	82	104
"955"	84	106
"956"	84	90
"957"	85	95
"958"	87	109
"959"	89	92
"960"	90	99
"961"	71	106
"962"	74	103
"963"	81	91
"964"	69	71
"965"	70	76
"966"	70	82
"967"	70	85
"968"	71	83
"969"	72	67
"970"	72	77
"971"	72	81
"972"	73	70
"973"	74	81
"974"	74	79
"975"	74	76
"976"	75	85
"977"	75	72
"978"	76	85
"979"	77	67
"980"	78	74
"981"	79	83
"982"	81	74
"983"	81	68
"984"	82	80
"985"	82	86
"986"	83	75
"987"	84	75
"988"	85	68
"989"	88	85
"990"	88	70
"991"	88	84
"992"	89	72
"993"	71	68
"994"	73	74
"995"	77	83
"996"	78	87
"997"	80	85
"998"	86	78
"999"	87	79
"1000"	88	75
"1001"	88	77
"1002"	70	74
"1003"	72	80
"1004"	72	70
"1005"	75	68
"1006"	79	81
"1007"	82	83
"1008"	86	81
"1009"	90	75
"1010"	75	70
"1011"	76	81
"1012"	77	80
"1013"	85	84
"1014"	85	71
"1015"	70	86
"1016"	71	80
"1017"	71	78
"1018"	74	75
"1019"	74	84
"1020"	73	83
"1021"	76	86
"1022"	76	83
"1023"	79	85
"1024"	79	80
"1025"	80	87
"1026"	80	77
"1027"	80	72
"1028"	82	82
"1029"	82	79
"1030"	82	78
"1031"	84	82
"1032"	84	72
"1033"	86	84
"1034"	85	73
"1035"	89	71
"1036"	89	84
"1037"	90	82
"1038"	69	59
"1039"	69	61
"1040"	71	62
"1041"	72	57
"1042"	72	56
"1043"	73	64
"1044"	76	58
"1045"	77	59
"1046"	77	64
"1047"	79	54
"1048"	79	61
"1049"	81	64
"1050"	82	63
"1051"	84	64
"1052"	85	59
"1053"	86	63
"1054"	87	64
"1055"	87	62
"1056"	88	56
"1057"	89	57
"1058"	89	62
"1059"	76	54
"1060"	81	54
"1061"	73	57
"1062"	80	59
"1063"	81	55
"1064"	89	55
"1065"	72	61
"1066"	72	51
"1067"	74	57
"1068"	76	52
"1069"	76	61
"1070"	78	55
"1071"	80	64
"1072"	89	52
"1073"	89	52
"1074"	91	56
"1075"	91	54
"1076"	92	62
"1077"	93	62
"1078"	94	61
"1079"	96	54
"1080"	97	57
"1081"	97	65
"1082"	98	55
"1083"	98	60
"1084"	99	62
"1085"	102	59
"1086"	103	61
"1087"	103	64
"1088"	104	65
"1089"	104	60
"1090"	105	63
"1091"	106	62
"1092"	107	64
"1093"	109	62
"1094"	110	57
"1095"	110	59
"1096"	111	64
"1097"	112	63
"1098"	94	60
"1099"	95	60
"1100"	101	57
"1101"	107	59
"1102"	113	59
"1103"	104	57
"1104"	110	61
"1105"	111	59
"1106"	94	63
"1107"	98	58
"1108"	93	54
"1109"	94	56
"1110"	94	64
"1111"	97	60
"1112"	104	58
"1113"	105	53
"1114"	106	58
"1115"	106	53
"1116"	109	56
"1117"	113	61
"1118"	92	87
"1119"	92	74
"1120"	93	81
"1121"	93	87
"1122"	95	71
"1123"	95	82
"1124"	96	69
"1125"	97	69
"1126"	97	81
"1127"	97	84
"1128"	97	85
"1129"	97	75
"1130"	98	71
"1131"	99	86
"1132"	99	83
"1133"	100	71
"1134"	101	72
"1135"	102	79
"1136"	102	68
"1137"	102	76
"1138"	102	81
"1139"	103	70
"1140"	103	67
"1141"	104	83
"1142"	104	73
"1143"	104	75
"1144"	106	72
"1145"	106	74
"1146"	107	75
"1147"	107	72
"1148"	108	86
"1149"	109	70
"1150"	109	76
"1151"	109	68
"1152"	110	75
"1153"	110	83
"1154"	111	71
"1155"	111	69
"1156"	112	72
"1157"	111	67
"1158"	112	81
"1159"	112	76
"1160"	111	85
"1161"	112	80
"1162"	113	79
"1163"	94	73
"1164"	102	73
"1165"	102	84
"1166"	104	85
"1167"	104	87
"1168"	105	78
"1169"	107	78
"1170"	108	82
"1171"	93	81
"1172"	94	79
"1173"	100	85
"1174"	105	83
"1175"	106	68
"1176"	109	81
"1177"	96	67
"1178"	98	68
"1179"	102	78
"1180"	92	79
"1181"	94	76
"1182"	94	86
"1183"	95	84
"1184"	96	71
"1185"	99	68
"1186"	103	78
"1187"	107	80
"1188"	110	73
"1189"	111	71
"1190"	111	70
"1191"	111	78
"1192"	112	67
"1193"	113	84
"1194"	92	93
"1195"	93	89
"1196"	93	106
"1197"	93	99
"1198"	93	103
"1199"	94	89
"1200"	95	102
"1201"	96	107
"1202"	96	100
"1203"	96	92
"1204"	96	99
"1205"	96	93
"1206"	96	95
"1207"	97	98
"1208"	98	91
"1209"	101	104
"1210"	102	91
"1211"	102	109
"1212"	103	106
"1213"	104	107
"1214"	104	104
"1215"	104	96
"1216"	105	93
"1217"	105	108
"1218"	105	104
"1219"	106	107
"1220"	106	106
"1221"	106	104
"1222"	107	100
"1223"	108	89
"1224"	109	107
"1225"	109	102
"1226"	109	94
"1227"	110	93
"1228"	110	104
"1229"	110	109
"1230"	111	97
"1231"	112	93
"1232"	99	109
"1233"	100	101
"1234"	100	92
"1235"	104	90
"1236"	106	92
"1237"	111	104
"1238"	92	104
"1239"	98	101
"1240"	101	97
"1241"	103	93
"1242"	102	101
"1243"	104	100
"1244"	106	97
"1245"	108	104
"1246"	109	108
"1247"	111	89
"1248"	97	107
"1249"	106	90
"1250"	110	101
"1251"	112	102
"1252"	94	92
"1253"	95	103
"1254"	99	98
"1255"	101	103
"1256"	102	103
"1257"	102	103
"1258"	105	102
"1259"	107	94
"1260"	108	105
"1261"	109	93
